sample_id,mode,encryption_algo,dh_group,pfs,ip_version,traffic_type,avg_packet_size_bytes,packet_rate_per_sec,session_duration_sec,burstiness_index,ike_handshake_time_ms,security_verdict,risk_score
STR001,Transport,AES-256-GCM,modp6144(17),On,IPv4,email,670.7,7.5,9.6,0.22,247.5,Strong,1.4
STR002,Tunnel,AES-256-GCM,modp8192(21),On,IPv6,file_transfer,1381.1,119.2,0.5,0.79,194.9,Strong,1.5
STR003,Transport,AES-256-GCM,modp6144(17),On,IPv4,dns_query,59.9,2.7,0.5,0.04,82.7,Strong,2.0
STR004,Tunnel,AES-256-GCM,modp6144(17),On,IPv6,dns_query,114.9,2.8,0.5,0.1,147.5,Strong,2.4
STR005,Tunnel,AES-256-GCM,modp8192(21),On,IPv4,video_streaming,1160.2,89.7,590.1,0.49,172.1,Strong,1.9
STR006,Transport,AES-256,modp4096(16),On,IPv6,file_transfer,1319.8,147.1,0.5,0.67,123.9,Strong,0.9
STR007,Tunnel,AES-256-GCM,modp6144(17),On,IPv4,web_browsing,300.5,11.9,37.2,0.42,102.9,Strong,2.0
STR008,Transport,AES-256,modp4096(16),On,IPv4,icmp,63.0,1.7,8.7,0.01,159.9,Strong,2.9
STR009,Transport,AES-256-GCM,modp6144(17),On,IPv4,video_streaming,1271.9,97.7,1018.0,0.69,159.3,Strong,0.8
STR010,Tunnel,AES-256-GCM,modp8192(21),On,IPv6,file_transfer,1413.3,137.3,76.4,0.85,164.2,Strong,0.9
STR011,Transport,AES-256,modp4096(16),On,IPv4,voip,146.8,38.2,227.5,0.25,109.8,Strong,0.6
STR012,Transport,AES-256,modp4096(16),On,IPv4,dns_query,95.5,1.4,0.5,0.12,144.3,Strong,1.8
STR013,Tunnel,AES-256-GCM,modp6144(17),On,IPv6,icmp,59.0,1.5,10.0,0.04,236.0,Strong,1.0
STR014,Transport,AES-192,modp4096(16),On,IPv6,web_browsing,312.1,22.2,0.5,0.69,154.0,Strong,1.4
STR015,Tunnel,AES-192,modp4096(16),On,IPv6,voip,140.5,36.6,28.4,0.2,93.6,Strong,2.3
STR016,Transport,AES-256,modp4096(16),On,IPv6,web_browsing,366.7,24.7,12.6,0.57,137.2,Strong,1.1
STR017,Tunnel,AES-192,modp4096(16),On,IPv6,voip,84.7,50.1,0.5,0.23,128.6,Strong,1.2
STR018,Tunnel,AES-256-GCM,modp6144(17),On,IPv4,whatsapp_msg,91.2,3.7,0.5,0.21,88.6,Strong,1.3
STR019,Tunnel,AES-256,modp4096(16),On,IPv4,dns_query,106.6,3.1,1.2,0.02,101.3,Strong,1.0
STR020,Tunnel,AES-256,modp4096(16),On,IPv4,dns_query,43.9,3.0,0.5,0.12,187.8,Strong,2.5
STR021,Tunnel,AES-256-GCM,modp8192(21),On,IPv6,email,502.0,11.0,0.5,0.23,153.5,Strong,1.3
STR022,Tunnel,AES-256-GCM,modp6144(17),On,IPv4,dns_query,69.4,2.7,1.3,0.09,101.8,Strong,1.7
STR023,Tunnel,AES-256-GCM,modp6144(17),On,IPv4,file_transfer,1431.2,85.5,15.7,0.79,80.9,Strong,2.6
STR024,Tunnel,AES-192,modp4096(16),On,IPv4,whatsapp_msg,167.3,5.6,6.6,0.28,193.8,Strong,1.3
STR025,Transport,AES-192,modp4096(16),On,IPv4,voip,118.0,38.1,105.8,0.21,102.3,Strong,0.8
STR026,Tunnel,AES-256,modp4096(16),On,IPv4,video_streaming,1269.5,67.1,819.4,0.43,146.1,Strong,1.7
STR027,Transport,AES-192,modp4096(16),On,IPv4,email,523.1,3.5,8.9,0.22,138.9,Strong,0.7
STR028,Tunnel,AES-192,modp4096(16),On,IPv6,dns_query,88.1,3.4,1.4,0.07,136.0,Strong,2.2
STR029,Transport,AES-256-GCM,modp8192(21),On,IPv6,video_streaming,1129.0,60.2,488.7,0.66,165.9,Strong,1.1
STR030,Transport,AES-192,modp4096(16),On,IPv6,email,679.0,4.8,0.5,0.18,165.1,Strong,1.5
