sample_id,mode,encryption_algo,dh_group,pfs,ip_version,traffic_type,avg_packet_size_bytes,packet_rate_per_sec,session_duration_sec,burstiness_index,ike_handshake_time_ms,security_verdict,risk_score
WEAK001,Tunnel,3DES,modp1024(2),Off,IPv4,dns_query,49.1,4.2,0.5,0.09,121.3,Weak,9.0
WEAK002,Transport,3DES,modp1536(5),Off,IPv6,dns_query,66.9,3.7,0.5,0.07,120.6,Weak,8.8
WEAK003,Tunnel,3DES,modp1536(5),Off,IPv6,email,817.4,5.3,0.5,0.25,196.6,Weak,8.7
WEAK004,Transport,DES,modp1024(2),Off,IPv6,email,621.9,8.4,28.3,0.41,216.8,Weak,7.6
WEAK005,Transport,DES,modp1024(2),Off,IPv4,whatsapp_msg,137.5,3.8,8.4,0.17,136.2,Weak,8.5
WEAK006,Transport,DES,modp768(1),Off,IPv4,icmp,65.1,1.6,0.5,0.02,147.1,Weak,9.0
WEAK007,Transport,3DES,modp1536(5),Off,IPv4,video_streaming,1335.2,80.1,571.5,0.73,210.1,Weak,7.1
WEAK008,Tunnel,DES,modp1024(2),Off,IPv6,dns_query,84.7,2.2,1.1,0.13,173.4,Weak,9.9
WEAK009,Tunnel,3DES,modp1024(2),Off,IPv6,dns_query,90.8,1.7,2.3,0.09,188.4,Weak,7.1
WEAK010,Transport,DES,modp768(1),Off,IPv4,whatsapp_msg,166.3,7.8,12.9,0.36,186.3,Weak,9.3
WEAK011,Tunnel,3DES,modp1536(5),Off,IPv6,dns_query,85.3,1.8,1.4,0.11,236.5,Weak,6.6
WEAK012,Tunnel,3DES,modp1536(5),Off,IPv4,email,925.9,13.8,0.5,0.19,159.0,Weak,7.8
WEAK013,Tunnel,DES,modp1024(2),Off,IPv6,whatsapp_msg,110.3,5.0,1.6,0.37,168.8,Weak,8.9
WEAK014,Transport,3DES,modp1536(5),Off,IPv6,file_transfer,1416.4,147.2,160.4,0.81,166.9,Weak,8.4
WEAK015,Transport,DES,modp1024(2),Off,IPv6,voip,66.5,39.0,272.3,0.14,155.1,Weak,9.9
WEAK016,Transport,3DES,modp1024(2),Off,IPv4,file_transfer,1469.6,110.3,0.5,0.68,8.0,Weak,8.8
WEAK017,Tunnel,3DES,modp1536(5),Off,IPv6,whatsapp_msg,238.8,6.2,0.5,0.3,158.6,Weak,8.0
WEAK018,Tunnel,3DES,modp1024(2),Off,IPv6,dns_query,41.8,3.0,3.5,0.11,128.2,Weak,8.4
WEAK019,Transport,3DES,modp1024(2),Off,IPv6,web_browsing,201.2,14.9,44.9,0.56,150.3,Weak,10.0
WEAK020,Transport,3DES,modp1536(5),Off,IPv4,web_browsing,391.4,16.6,0.5,0.54,137.2,Weak,7.8
WEAK021,Transport,3DES,modp1536(5),Off,IPv6,dns_query,69.3,2.3,4.6,0.11,122.4,Weak,8.7
WEAK022,Transport,DES,modp768(1),Off,IPv4,icmp,66.7,2.0,0.5,0.04,145.1,Weak,9.0
WEAK023,Tunnel,3DES,modp1024(2),Off,IPv4,email,252.5,11.4,1.6,0.39,60.8,Weak,7.1
WEAK024,Transport,3DES,modp1024(2),Off,IPv6,dns_query,40.3,2.5,4.1,0.12,134.5,Weak,9.5
WEAK025,Tunnel,3DES,modp1536(5),Off,IPv4,dns_query,94.5,4.7,2.5,0.11,159.8,Weak,8.5
WEAK026,Tunnel,3DES,modp1536(5),Off,IPv4,dns_query,57.4,2.8,2.3,0.09,117.1,Weak,9.8
WEAK027,Transport,DES,modp1024(2),Off,IPv4,video_streaming,1117.9,86.8,0.5,0.52,154.8,Weak,9.3
WEAK028,Tunnel,3DES,modp1536(5),Off,IPv4,email,666.6,6.4,6.5,0.2,135.1,Weak,7.5
WEAK029,Tunnel,DES,modp768(1),Off,IPv4,web_browsing,372.9,26.4,10.3,0.44,190.2,Weak,8.4
WEAK030,Tunnel,DES,modp768(1),Off,IPv4,icmp,63.7,1.5,21.9,0.03,165.4,Weak,9.0
