sample_id,mode,encryption_algo,dh_group,pfs,ip_version,traffic_type,avg_packet_size_bytes,packet_rate_per_sec,session_duration_sec,burstiness_index,ike_handshake_time_ms,security_verdict,risk_score
SYN0096,Transport,AES-128,modp4096(16),Off,IPv4,email,622.7,6.5,1.0,0.34,133.2,Medium,5.5
SYN0016,Transport,AES-256,modp4096(16),Off,IPv4,icmp,65.4,1.6,1.0,0.04,91.5,Strong,2.3
SYN0031,Transport,AES-256,modp1536(5),Off,IPv4,video_streaming,1381.4,98.1,1760.7,0.61,93.7,Medium,5.7
SYN0159,Transport,3DES,modp1024(2),Off,IPv4,icmp,50.4,1.8,1.0,0.05,175.9,Weak,8.9
SYN0129,Tunnel,3DES,modp4096(16),On,IPv4,icmp,68.6,1.1,22.8,0.04,153.8,Medium,5.3
SYN0116,Tunnel,AES-128,modp1024(2),Off,IPv4,file_transfer,1410.2,91.8,1.0,0.69,220.1,Weak,7.5
SYN0070,Transport,AES-256-GCM,modp1536(5),On,IPv4,email,588.9,8.0,3.7,0.25,174.9,Medium,5.7
SYN0171,Tunnel,DES,modp4096(16),Off,IPv4,file_transfer,1356.2,120.8,1.0,0.79,142.8,Weak,8.6
SYN0175,Transport,DES,modp4096(16),Off,IPv4,web_browsing,440.1,25.9,1.0,0.53,108.7,Weak,8.3
SYN0046,Transport,AES-256-GCM,modp8192(21),On,IPv4,web_browsing,306.7,13.7,1.0,0.74,92.8,Strong,1.4
SYN0067,Tunnel,AES-256-GCM,modp1536(5),Off,IPv4,voip,131.4,52.8,282.6,0.27,178.0,Medium,4.3
SYN0183,Transport,DES,modp2048(14),Off,IPv4,web_browsing,480.7,8.8,38.2,0.39,87.8,Weak,9.7
SYN0166,Transport,DES,modp8192(21),On,IPv4,email,590.0,6.0,30.0,0.3,92.8,Medium,3.8
SYN0079,Transport,AES-256-GCM,modp1024(2),Off,IPv4,file_transfer,1359.2,108.8,1.0,0.78,152.3,Medium,4.0
SYN0187,Tunnel,DES,modp1536(5),Off,IPv4,video_streaming,1151.0,81.7,149.0,0.53,144.8,Weak,7.6
SYN0178,Tunnel,DES,modp2048(14),On,IPv4,video_streaming,1183.4,82.8,1064.4,0.48,91.4,Weak,9.0
SYN0057,Tunnel,AES-256-GCM,modp2048(14),On,IPv4,email,460.2,8.0,1.0,0.48,137.6,Strong,0.7
SYN0153,Tunnel,3DES,modp1024(2),On,IPv4,icmp,61.0,1.6,1.0,0.06,166.7,Weak,7.4
SYN0083,Tunnel,AES-128,modp8192(21),Off,IPv4,video_streaming,1054.2,91.2,1034.3,0.35,117.6,Strong,1.5
SYN0069,Transport,AES-256-GCM,modp1536(5),On,IPv4,voip,125.5,47.2,1.0,0.15,145.7,Medium,5.9
SYN0125,Transport,3DES,modp8192(21),On,IPv4,web_browsing,237.0,17.8,65.2,0.61,131.2,Medium,3.9
SYN0017,Tunnel,AES-256,modp2048(14),On,IPv4,video_streaming,801.7,95.2,1.0,0.57,168.1,Strong,2.1
SYN0149,Transport,3DES,modp1536(5),On,IPv4,voip,103.2,44.9,268.4,0.15,10.8,Weak,9.0
SYN0094,Transport,AES-128,modp4096(16),On,IPv4,email,754.3,0.6,1.0,0.36,141.9,Strong,1.7
SYN0066,Tunnel,AES-256-GCM,modp1536(5),On,IPv4,web_browsing,264.5,11.2,9.5,0.55,225.0,Medium,4.4
SYN0061,Transport,AES-256-GCM,modp2048(14),On,IPv4,web_browsing,369.8,15.0,1.0,0.49,200.8,Strong,1.3
SYN0085,Transport,AES-128,modp8192(21),On,IPv4,voip,102.5,45.0,772.3,0.25,132.4,Strong,2.1
SYN0068,Tunnel,AES-256-GCM,modp1536(5),Off,IPv4,email,573.5,11.5,1.0,0.13,204.2,Medium,5.7
SYN0126,Transport,3DES,modp8192(21),On,IPv4,video_streaming,1279.0,93.8,709.6,0.77,190.6,Medium,3.5
SYN0133,Transport,3DES,modp4096(16),On,IPv4,voip,84.7,54.2,1.0,0.19,192.6,Medium,4.2
SYN0010,Tunnel,AES-256,modp4096(16),On,IPv4,file_transfer,1368.8,126.6,205.6,0.75,142.6,Strong,0.7
SYN0019,Tunnel,AES-256,modp2048(14),Off,IPv4,file_transfer,1399.1,86.5,1.0,0.7,154.1,Medium,5.9
SYN0056,Transport,AES-256-GCM,modp4096(16),Off,IPv4,file_transfer,1377.7,143.2,172.5,0.86,175.1,Strong,1.2
SYN0076,Tunnel,AES-256-GCM,modp1024(2),Off,IPv4,email,666.1,2.9,2.2,0.34,148.7,Medium,5.9
SYN0151,Transport,3DES,modp1536(5),Off,IPv4,voip,124.8,47.4,339.9,0.22,166.2,Weak,7.7
SYN0105,Tunnel,AES-128,modp1536(5),On,IPv4,video_streaming,1225.6,102.5,1.0,0.37,157.2,Medium,4.0
SYN0136,Transport,3DES,modp4096(16),Off,IPv4,voip,115.7,44.7,264.5,0.2,151.2,Medium,5.9
SYN0138,Tunnel,3DES,modp2048(14),On,IPv4,email,627.0,12.3,5.9,0.4,90.6,Medium,4.3
SYN0165,Transport,DES,modp8192(21),On,IPv4,video_streaming,1058.3,94.8,869.5,0.65,108.8,Medium,5.4
SYN0077,Transport,AES-256-GCM,modp1024(2),On,IPv4,icmp,73.0,1.3,1.0,0.05,105.9,Medium,4.7
SYN0080,Transport,AES-256-GCM,modp1024(2),Off,IPv4,video_streaming,857.6,79.5,248.4,0.59,141.2,Medium,5.2
SYN0198,Transport,DES,modp1024(2),On,IPv4,file_transfer,1365.0,106.2,435.4,0.9,137.0,Weak,8.9
SYN0039,Transport,AES-256,modp1024(2),Off,IPv4,web_browsing,396.0,12.3,1.0,0.55,133.4,Weak,8.6
SYN0025,Tunnel,AES-256,modp1536(5),On,IPv4,voip,112.9,49.4,373.2,0.23,204.6,Medium,5.8
SYN0123,Tunnel,3DES,modp8192(21),Off,IPv4,web_browsing,497.2,14.8,1.0,0.7,236.2,Medium,5.4
SYN0196,Tunnel,DES,modp1024(2),Off,IPv4,voip,99.4,36.2,1.0,0.28,116.1,Weak,7.0
SYN0030,Transport,AES-256,modp1536(5),On,IPv4,web_browsing,414.6,10.6,1.0,0.49,163.6,Medium,4.4
SYN0020,Tunnel,AES-256,modp2048(14),Off,IPv4,icmp,60.5,1.9,5.0,0.05,103.3,Medium,4.8
SYN0144,Transport,3DES,modp2048(14),Off,IPv4,file_transfer,1481.1,107.2,1.0,0.74,127.8,Weak,8.4
SYN0087,Transport,AES-128,modp8192(21),Off,IPv4,icmp,64.2,2.1,1.0,0.05,131.7,Strong,1.2
SYN0115,Tunnel,AES-128,modp1024(2),Off,IPv4,voip,147.8,23.7,1.0,0.14,102.9,Weak,8.6
SYN0174,Transport,DES,modp4096(16),On,IPv4,web_browsing,468.1,20.2,1.0,0.7,157.9,Medium,5.5
SYN0006,Transport,AES-256,modp8192(21),On,IPv4,icmp,62.7,2.4,1.0,0.05,71.6,Strong,1.5
SYN0127,Transport,3DES,modp8192(21),Off,IPv4,icmp,62.7,2.4,5.8,0.0,136.1,Medium,3.9
SYN0118,Transport,AES-128,modp1024(2),On,IPv4,email,454.3,6.4,10.3,0.18,178.5,Weak,8.9
SYN0074,Tunnel,AES-256-GCM,modp1024(2),On,IPv4,video_streaming,1331.7,105.9,1.0,0.48,68.4,Medium,4.0
SYN0141,Transport,3DES,modp2048(14),On,IPv4,icmp,57.0,2.4,1.0,0.03,109.8,Medium,4.6
SYN0099,Tunnel,AES-128,modp2048(14),Off,IPv4,file_transfer,1388.0,136.5,190.6,0.81,114.6,Medium,4.1
SYN0173,Transport,DES,modp4096(16),On,IPv4,voip,125.5,38.6,603.6,0.22,165.7,Medium,3.9
SYN0097,Tunnel,AES-128,modp2048(14),On,IPv4,web_browsing,179.2,16.8,1.0,0.64,140.0,Medium,5.2
SYN0170,Tunnel,DES,modp4096(16),On,IPv4,web_browsing,359.7,15.0,1.0,0.73,185.1,Medium,6.0
SYN0098,Tunnel,AES-128,modp2048(14),On,IPv4,video_streaming,1395.2,61.9,1.0,0.6,217.1,Medium,4.4
SYN0032,Transport,AES-256,modp1536(5),Off,IPv4,voip,119.3,36.4,204.7,0.19,178.6,Medium,5.3
SYN0013,Transport,AES-256,modp4096(16),On,IPv4,voip,112.0,44.5,1.0,0.25,186.1,Strong,1.5
SYN0036,Tunnel,AES-256,modp1024(2),Off,IPv4,icmp,72.5,1.3,1.0,0.06,170.6,Weak,9.0
SYN0120,Transport,AES-128,modp1024(2),Off,IPv4,icmp,55.9,2.3,1.0,0.06,100.0,Weak,7.6
SYN0043,Tunnel,AES-256-GCM,modp8192(21),Off,IPv4,email,445.6,13.0,1.0,0.27,162.7,Strong,1.4
SYN0190,Transport,DES,modp1536(5),On,IPv4,voip,132.9,40.0,634.2,0.19,158.7,Weak,8.9
SYN0091,Tunnel,AES-128,modp4096(16),Off,IPv4,web_browsing,343.5,10.0,13.4,0.09,131.7,Medium,5.4
SYN0137,Tunnel,3DES,modp2048(14),On,IPv4,file_transfer,1329.7,130.0,1.0,0.93,139.6,Medium,4.3
SYN0052,Tunnel,AES-256-GCM,modp4096(16),Off,IPv4,web_browsing,458.1,10.9,1.0,0.61,174.4,Strong,2.1
SYN0128,Transport,3DES,modp8192(21),Off,IPv4,video_streaming,1229.8,80.8,1.0,0.51,95.9,Medium,5.0
SYN0163,Tunnel,DES,modp8192(21),Off,IPv4,file_transfer,1403.7,115.4,201.1,0.77,170.2,Medium,4.0
SYN0042,Tunnel,AES-256-GCM,modp8192(21),On,IPv4,email,765.8,1.9,5.8,0.23,184.1,Strong,2.5
SYN0119,Transport,AES-128,modp1024(2),Off,IPv4,video_streaming,1322.1,75.9,260.8,0.63,215.9,Weak,7.3
SYN0114,Tunnel,AES-128,modp1024(2),On,IPv4,file_transfer,1433.7,108.5,1.0,0.8,128.3,Weak,9.5
SYN0027,Tunnel,AES-256,modp1536(5),Off,IPv4,voip,132.4,54.7,127.9,0.24,157.0,Medium,5.3
SYN0140,Tunnel,3DES,modp2048(14),Off,IPv4,web_browsing,331.7,26.5,1.0,0.43,208.1,Weak,8.1
SYN0101,Transport,AES-128,modp2048(14),On,IPv4,video_streaming,1344.9,91.2,1.0,0.64,106.3,Medium,5.1
SYN0112,Transport,AES-128,modp1536(5),Off,IPv4,email,568.6,13.5,19.9,0.27,105.7,Weak,8.0
SYN0003,Tunnel,AES-256,modp8192(21),Off,IPv4,web_browsing,357.2,11.3,1.0,0.18,124.8,Strong,1.7
SYN0078,Transport,AES-256-GCM,modp1024(2),On,IPv4,web_browsing,448.8,14.7,33.7,0.35,170.2,Medium,4.4
SYN0047,Transport,AES-256-GCM,modp8192(21),Off,IPv4,icmp,63.0,1.8,2.6,0.1,166.2,Strong,1.8
SYN0188,Tunnel,DES,modp1536(5),Off,IPv4,icmp,55.7,2.0,1.0,0.07,163.9,Weak,9.6
SYN0192,Transport,DES,modp1536(5),Off,IPv4,video_streaming,1210.1,106.6,832.2,0.66,104.3,Weak,9.6
SYN0086,Transport,AES-128,modp8192(21),On,IPv4,email,916.4,5.4,1.0,0.39,226.4,Strong,0.8
SYN0162,Tunnel,DES,modp8192(21),On,IPv4,file_transfer,1483.0,119.1,73.8,0.78,164.1,Medium,4.2
SYN0037,Transport,AES-256,modp1024(2),On,IPv4,email,604.8,10.6,24.6,0.3,203.2,Medium,5.7
SYN0191,Transport,DES,modp1536(5),Off,IPv4,file_transfer,1398.5,160.1,203.3,0.83,132.0,Weak,8.9
SYN0062,Transport,AES-256-GCM,modp2048(14),On,IPv4,video_streaming,1315.6,88.4,361.0,0.67,134.0,Strong,1.7
SYN0023,Transport,AES-256,modp2048(14),Off,IPv4,video_streaming,1456.0,103.1,125.5,0.56,176.0,Medium,3.6
SYN0142,Transport,3DES,modp2048(14),On,IPv4,web_browsing,294.9,14.8,12.0,0.73,110.1,Medium,4.1
SYN0102,Transport,AES-128,modp2048(14),On,IPv4,voip,103.7,45.6,1.0,0.22,163.3,Medium,5.4
SYN0034,Tunnel,AES-256,modp1024(2),On,IPv4,icmp,61.3,2.1,1.0,0.05,165.4,Medium,4.3
SYN0012,Tunnel,AES-256,modp4096(16),Off,IPv4,file_transfer,1396.2,127.2,306.8,0.8,212.6,Strong,1.9
SYN0195,Tunnel,DES,modp1024(2),Off,IPv4,file_transfer,1436.1,132.7,262.2,0.77,154.8,Weak,9.3
SYN0160,Transport,3DES,modp1024(2),Off,IPv4,email,797.5,8.7,1.0,0.17,184.9,Weak,7.6
SYN0007,Transport,AES-256,modp8192(21),Off,IPv4,video_streaming,1232.8,103.2,1.0,0.44,180.9,Strong,1.6
SYN0028,Tunnel,AES-256,modp1536(5),Off,IPv4,file_transfer,1339.2,96.2,148.2,0.7,181.5,Medium,5.2
SYN0121,Tunnel,3DES,modp8192(21),On,IPv4,file_transfer,1337.9,103.7,266.8,0.62,180.3,Medium,4.6
SYN0005,Transport,AES-256,modp8192(21),On,IPv4,video_streaming,1110.0,104.2,294.6,0.54,109.1,Strong,0.6
SYN0033,Tunnel,AES-256,modp1024(2),On,IPv4,email,575.2,10.2,1.0,0.38,191.8,Medium,3.5
SYN0143,Transport,3DES,modp2048(14),Off,IPv4,icmp,62.7,1.6,25.1,0.04,196.7,Weak,7.6
SYN0146,Tunnel,3DES,modp1536(5),On,IPv4,icmp,72.4,1.7,8.3,0.05,89.4,Weak,7.4
SYN0110,Transport,AES-128,modp1536(5),On,IPv4,file_transfer,1284.0,94.2,1.0,0.77,216.8,Medium,5.8
SYN0145,Tunnel,3DES,modp1536(5),On,IPv4,email,500.8,7.5,1.0,0.18,181.8,Weak,9.2
SYN0011,Tunnel,AES-256,modp4096(16),Off,IPv4,web_browsing,518.0,10.5,30.0,0.54,108.5,Strong,1.1
SYN0063,Transport,AES-256-GCM,modp2048(14),Off,IPv4,email,613.9,11.0,10.1,0.31,241.0,Strong,0.9
SYN0113,Tunnel,AES-128,modp1024(2),On,IPv4,icmp,64.0,2.1,1.0,0.05,118.7,Weak,7.2
SYN0147,Tunnel,3DES,modp1536(5),Off,IPv4,web_browsing,316.0,15.8,1.0,0.59,171.7,Weak,8.7
SYN0167,Transport,DES,modp8192(21),Off,IPv4,video_streaming,961.3,98.5,1.0,0.7,138.9,Medium,3.7
SYN0001,Tunnel,AES-256,modp8192(21),On,IPv4,icmp,55.1,2.2,4.8,0.07,126.8,Strong,1.2
SYN0199,Transport,DES,modp1024(2),Off,IPv4,icmp,60.4,2.0,1.0,0.02,207.8,Weak,8.5
SYN0154,Tunnel,3DES,modp1024(2),On,IPv4,email,680.1,8.6,3.7,0.16,179.9,Weak,8.4
SYN0071,Transport,AES-256-GCM,modp1536(5),Off,IPv4,video_streaming,994.7,98.0,756.3,0.75,116.9,Medium,4.6
SYN0124,Tunnel,3DES,modp8192(21),Off,IPv4,icmp,69.4,2.1,1.0,0.05,163.9,Medium,4.1
SYN0065,Tunnel,AES-256-GCM,modp1536(5),On,IPv4,video_streaming,1183.4,104.6,1.0,0.68,143.7,Medium,3.6
SYN0045,Transport,AES-256-GCM,modp8192(21),On,IPv4,email,453.9,4.2,1.0,0.49,149.2,Strong,1.3
SYN0164,Tunnel,DES,modp8192(21),Off,IPv4,video_streaming,1195.7,95.1,394.1,0.66,167.9,Medium,4.0
SYN0029,Transport,AES-256,modp1536(5),On,IPv4,email,754.0,11.8,9.4,0.39,115.3,Medium,4.3
SYN0041,Tunnel,AES-256-GCM,modp8192(21),On,IPv4,web_browsing,455.0,8.6,76.7,0.78,204.5,Strong,2.0
SYN0109,Transport,AES-128,modp1536(5),On,IPv4,icmp,59.3,1.9,12.7,0.04,184.1,Medium,5.0
SYN0156,Tunnel,3DES,modp1024(2),Off,IPv4,video_streaming,1207.2,99.1,232.0,0.56,157.8,Weak,8.0
SYN0157,Transport,3DES,modp1024(2),On,IPv4,file_transfer,1381.9,123.5,1.0,0.9,130.8,Weak,7.8
SYN0026,Tunnel,AES-256,modp1536(5),On,IPv4,video_streaming,1580.9,93.9,589.1,0.48,97.2,Medium,4.1
SYN0024,Transport,AES-256,modp2048(14),Off,IPv4,file_transfer,1338.9,101.6,309.0,0.72,137.1,Medium,3.9
SYN0185,Tunnel,DES,modp1536(5),On,IPv4,web_browsing,464.9,8.0,1.0,0.58,183.9,Weak,8.2
SYN0148,Tunnel,3DES,modp1536(5),Off,IPv4,email,816.7,7.5,1.0,0.16,120.8,Weak,8.5
SYN0082,Tunnel,AES-128,modp8192(21),On,IPv4,video_streaming,1153.4,114.7,1.0,0.66,162.5,Strong,1.2
SYN0040,Transport,AES-256,modp1024(2),Off,IPv4,voip,121.6,41.2,386.7,0.2,106.9,Weak,7.1
SYN0169,Tunnel,DES,modp4096(16),On,IPv4,file_transfer,1418.6,129.6,25.6,0.74,139.5,Medium,5.2
SYN0048,Transport,AES-256-GCM,modp8192(21),Off,IPv4,voip,138.2,46.6,1.0,0.2,134.6,Strong,0.8
SYN0095,Transport,AES-128,modp4096(16),Off,IPv4,voip,123.4,45.7,206.4,0.28,145.2,Medium,5.6
SYN0155,Tunnel,3DES,modp1024(2),Off,IPv4,file_transfer,1474.8,124.3,78.0,0.76,171.5,Weak,8.8
SYN0044,Tunnel,AES-256-GCM,modp8192(21),Off,IPv4,file_transfer,1319.4,94.8,195.2,1.0,191.3,Strong,1.9
SYN0139,Tunnel,3DES,modp2048(14),Off,IPv4,file_transfer,1332.5,131.7,158.4,0.8,198.9,Weak,9.5
SYN0004,Tunnel,AES-256,modp8192(21),Off,IPv4,email,719.5,6.4,4.7,0.18,165.0,Strong,1.5
SYN0106,Tunnel,AES-128,modp1536(5),On,IPv4,email,1128.7,8.3,13.9,0.35,159.0,Medium,5.0
SYN0054,Transport,AES-256-GCM,modp4096(16),On,IPv4,email,512.1,11.9,3.3,0.37,137.6,Strong,2.0
SYN0134,Transport,3DES,modp4096(16),On,IPv4,icmp,65.0,2.3,12.8,0.07,168.4,Medium,5.3
SYN0181,Transport,DES,modp2048(14),On,IPv4,file_transfer,1416.2,114.2,1.0,0.79,143.7,Weak,9.0
SYN0179,Tunnel,DES,modp2048(14),Off,IPv4,web_browsing,243.8,25.0,1.8,0.77,84.7,Weak,9.8
SYN0186,Tunnel,DES,modp1536(5),On,IPv4,file_transfer,1461.1,127.6,107.4,0.9,159.6,Weak,8.3
SYN0050,Tunnel,AES-256-GCM,modp4096(16),On,IPv4,web_browsing,407.1,16.4,1.0,0.47,130.3,Strong,1.3
