sample_id,mode,encryption_algo,dh_group,pfs,ip_version,traffic_type,avg_packet_size_bytes,packet_rate_per_sec,session_duration_sec,burstiness_index,ike_handshake_time_ms,security_verdict,risk_score
TRN07941,Transport,AES-128,modp1536(5),On,IPv6,icmp,68.2,2.0,5.2,0.04,159.1,Medium,3.8
TRN01163,Transport,AES-128,modp1024(2),On,IPv6,voip,117.5,30.3,191.5,0.21,128.7,Weak,6.2
TRN00583,Tunnel,AES-192,modp1024(2),On,IPv4,web_browsing,320.0,6.0,10.1,0.69,131.1,Weak,8.4
TRN04082,Tunnel,3DES,modp1024(2),Off,IPv6,video_streaming,1146.9,53.9,610.1,0.58,175.5,Weak,8.9
TRN08413,Transport,AES-256,modp8192(21),On,IPv6,email,455.5,13.5,0.5,0.33,108.9,Strong,0.6
TRN08731,Tunnel,AES-256-GCM,modp2048(14),On,IPv6,video_streaming,1171.8,85.0,0.5,0.71,95.2,Strong,2.0
TRN05937,Transport,3DES,modp6144(17),Off,IPv6,file_transfer,1435.1,120.5,8.6,0.81,102.8,Medium,3.9
TRN08284,Tunnel,AES-128,modp6144(17),On,IPv4,email,680.8,6.5,21.8,0.2,150.7,Strong,1.3
TRN03707,Transport,3DES,modp8192(21),Off,IPv6,web_browsing,347.0,15.2,18.5,0.34,111.8,Medium,3.2
TRN04072,Transport,DES,modp1536(5),Off,IPv4,dns_query,69.7,3.7,1.3,0.12,152.6,Weak,9.3
TRN03754,Transport,3DES,modp2048(14),Off,IPv6,video_streaming,1299.4,75.8,594.3,0.57,154.3,Weak,7.8
TRN05488,Transport,AES-256,modp4096(16),Off,IPv4,icmp,70.3,2.0,7.4,0.04,142.3,Strong,1.3
TRN03654,Transport,DES,modp1536(5),Off,IPv4,whatsapp_msg,114.4,6.0,0.5,0.31,99.2,Weak,9.6
TRN06822,Transport,AES-128,modp1024(2),On,IPv4,web_browsing,400.2,15.8,30.1,0.89,209.9,Weak,9.1
TRN07638,Transport,3DES,modp768(1),Off,IPv4,email,619.9,7.5,22.6,0.23,130.1,Weak,8.8
TRN03465,Transport,AES-256-GCM,modp1024(2),On,IPv4,whatsapp_msg,116.1,7.0,0.5,0.29,106.1,Medium,5.7
TRN04668,Transport,AES-128,modp1024(2),Off,IPv6,icmp,64.7,1.6,2.6,0.04,95.9,Weak,9.3
TRN08305,Tunnel,AES-256-GCM,modp4096(16),On,IPv6,dns_query,111.7,3.4,4.4,0.07,195.8,Strong,0.4
TRN08852,Tunnel,AES-256,modp3072(15),On,IPv6,voip,139.1,45.3,0.5,0.19,117.2,Strong,1.9
TRN06378,Transport,DES,modp8192(21),Off,IPv6,email,602.5,9.2,0.5,0.17,157.7,Medium,4.6
TRN06477,Transport,AES-192,modp1024(2),Off,IPv4,email,750.2,10.3,4.9,0.26,178.5,Weak,7.0
TRN05139,Transport,AES-128,modp1536(5),Off,IPv6,video_streaming,1339.4,98.8,984.1,0.68,112.6,Weak,8.1
TRN07134,Transport,AES-256-GCM,modp8192(21),On,IPv6,web_browsing,441.5,21.0,0.5,0.3,193.4,Strong,2.0
TRN07061,Tunnel,3DES,modp4096(16),On,IPv4,video_streaming,1071.9,70.2,0.5,0.58,215.4,Medium,3.3
TRN05318,Tunnel,AES-128,modp4096(16),Off,IPv6,dns_query,80.0,2.3,0.5,0.11,174.7,Medium,4.8
TRN00268,Tunnel,3DES,modp4096(16),Off,IPv4,video_streaming,1231.3,87.9,1720.4,0.4,153.1,Medium,3.8
TRN07999,Tunnel,3DES,modp3072(15),On,IPv6,whatsapp_msg,167.1,4.2,0.5,0.2,252.5,Medium,3.7
TRN06050,Transport,AES-128,modp4096(16),On,IPv4,whatsapp_msg,40.0,8.3,0.5,0.17,163.7,Strong,2.0
TRN00094,Tunnel,AES-256,modp1536(5),On,IPv6,voip,137.8,34.0,0.5,0.28,84.0,Medium,5.9
TRN04491,Transport,AES-128,modp8192(21),Off,IPv6,file_transfer,1388.0,100.0,0.5,0.88,135.3,Strong,1.3
TRN00249,Tunnel,AES-256,modp1536(5),On,IPv6,email,508.2,3.5,3.8,0.28,242.3,Medium,6.8
TRN06046,Transport,AES-128,modp3072(15),On,IPv6,email,354.8,5.5,0.5,0.39,133.1,Medium,4.7
TRN01088,Tunnel,AES-256,modp1024(2),Off,IPv6,email,743.9,11.6,29.0,0.21,225.4,Medium,5.7
TRN01211,Tunnel,AES-256-GCM,modp3072(15),Off,IPv6,dns_query,62.2,2.2,0.5,0.09,117.2,Strong,0.5
TRN00748,Transport,3DES,modp6144(17),On,IPv4,file_transfer,1474.7,155.4,61.7,0.84,103.5,Medium,6.2
TRN00701,Transport,AES-256,modp768(1),On,IPv4,whatsapp_msg,259.8,5.3,0.5,0.28,99.0,Medium,6.7
TRN06788,Tunnel,3DES,modp768(1),Off,IPv4,icmp,78.3,2.2,0.5,0.07,157.0,Weak,7.9
TRN04192,Tunnel,AES-128,modp6144(17),Off,IPv6,whatsapp_msg,121.2,4.6,7.1,0.26,194.2,Strong,0.9
TRN02871,Tunnel,3DES,modp1024(2),Off,IPv6,voip,95.6,41.0,1082.9,0.21,148.5,Weak,8.3
TRN00669,Tunnel,DES,modp8192(21),Off,IPv6,voip,130.4,45.5,0.5,0.24,178.4,Medium,3.7
TRN01731,Transport,AES-256-GCM,modp768(1),Off,IPv6,email,689.0,9.3,9.4,0.24,134.0,Medium,4.8
TRN00319,Transport,AES-192,modp1536(5),Off,IPv6,whatsapp_msg,133.9,11.3,14.1,0.28,176.4,Medium,4.3
TRN01528,Tunnel,AES-128,modp1024(2),Off,IPv6,email,203.8,7.7,0.5,0.43,143.6,Weak,6.7
TRN00677,Tunnel,DES,modp3072(15),On,IPv6,whatsapp_msg,152.7,6.2,18.6,0.33,200.9,Medium,3.5
TRN06206,Tunnel,AES-256-GCM,modp8192(21),Off,IPv4,dns_query,58.8,3.4,0.5,0.07,10.0,Strong,2.2
TRN01929,Transport,AES-256,modp2048(14),On,IPv4,whatsapp_msg,89.1,6.1,0.5,0.26,163.6,Medium,4.0
TRN00648,Tunnel,3DES,modp2048(14),On,IPv4,email,525.8,6.4,25.1,0.32,154.2,Weak,7.5
TRN01993,Tunnel,AES-192,modp6144(17),On,IPv6,email,452.1,4.7,6.9,0.24,119.4,Strong,2.4
TRN00081,Tunnel,AES-256-GCM,modp1024(2),Off,IPv4,video_streaming,1133.3,85.9,0.5,0.66,63.9,Medium,3.7
TRN00767,Transport,DES,modp6144(17),On,IPv6,voip,139.1,44.9,0.5,0.2,47.3,Medium,3.9
TRN06322,Transport,DES,modp2048(14),On,IPv6,dns_query,52.5,4.5,2.9,0.11,150.6,Weak,9.7
TRN01643,Tunnel,DES,modp768(1),On,IPv6,email,775.0,6.2,0.5,0.33,152.2,Weak,7.3
TRN05793,Transport,AES-128,modp1536(5),On,IPv4,email,674.1,9.1,7.4,0.2,146.0,Weak,7.2
TRN06825,Transport,AES-256-GCM,modp2048(14),On,IPv4,voip,124.6,51.1,463.4,0.18,108.6,Strong,0.8
TRN03002,Tunnel,AES-192,modp6144(17),Off,IPv6,icmp,53.7,2.0,2.3,0.05,177.4,Strong,0.9
TRN04447,Transport,AES-256,modp1536(5),Off,IPv6,voip,109.0,33.2,40.0,0.26,124.5,Medium,3.9
TRN01878,Tunnel,AES-192,modp3072(15),On,IPv4,voip,108.5,36.8,0.5,0.23,188.4,Medium,3.4
TRN05594,Transport,AES-256,modp3072(15),On,IPv4,icmp,60.4,2.0,19.0,0.04,135.0,Strong,1.9
TRN08768,Transport,AES-128,modp6144(17),Off,IPv4,dns_query,90.8,3.4,0.5,0.12,126.1,Strong,1.9
TRN06190,Transport,AES-256-GCM,modp2048(14),Off,IPv6,voip,121.7,54.5,0.5,0.22,208.4,Strong,1.5
TRN07516,Tunnel,AES-256,modp8192(21),On,IPv6,email,585.9,11.7,17.6,0.19,111.3,Strong,1.9
TRN08408,Tunnel,3DES,modp3072(15),On,IPv6,video_streaming,1197.5,69.8,453.2,0.62,113.7,Weak,9.6
TRN05949,Tunnel,AES-128,modp2048(14),On,IPv4,email,621.6,7.2,0.5,0.27,207.0,Medium,5.6
TRN06518,Tunnel,AES-256,modp3072(15),On,IPv4,web_browsing,564.1,17.8,6.5,0.44,42.6,Strong,2.6
TRN01045,Transport,AES-256,modp1024(2),On,IPv4,web_browsing,391.8,14.4,0.5,0.46,165.5,Medium,4.9
TRN03781,Transport,3DES,modp1024(2),On,IPv4,voip,143.7,40.4,350.7,0.19,196.9,Weak,7.6
TRN07245,Transport,AES-256,modp2048(14),Off,IPv6,dns_query,82.1,2.0,0.5,0.1,180.3,Medium,6.0
TRN05759,Transport,AES-256-GCM,modp2048(14),Off,IPv6,whatsapp_msg,202.8,9.3,0.5,0.13,271.5,Medium,3.3
TRN05289,Transport,AES-256-GCM,modp768(1),On,IPv6,whatsapp_msg,110.5,2.9,15.3,0.16,159.5,Medium,6.4
TRN00519,Transport,3DES,modp2048(14),Off,IPv6,video_streaming,989.6,95.0,909.2,0.61,170.7,Weak,8.5
TRN07899,Tunnel,AES-192,modp1024(2),Off,IPv4,icmp,56.2,1.2,0.5,0.0,122.1,Weak,7.1
TRN02089,Tunnel,AES-128,modp6144(17),On,IPv4,video_streaming,1035.9,98.1,0.5,0.54,113.6,Strong,1.0
TRN08967,Transport,DES,modp2048(14),On,IPv6,video_streaming,1366.1,71.5,121.4,0.62,168.5,Weak,7.6
TRN00564,Transport,AES-256-GCM,modp768(1),Off,IPv4,whatsapp_msg,203.6,4.9,0.5,0.27,222.3,Medium,4.2
TRN07318,Transport,AES-256-GCM,modp1536(5),On,IPv6,icmp,77.7,1.9,0.5,0.02,152.1,Medium,6.2
TRN01845,Transport,DES,modp2048(14),Off,IPv4,file_transfer,1463.7,126.0,0.5,0.88,230.6,Weak,8.1
TRN01181,Tunnel,AES-256,modp1024(2),On,IPv4,web_browsing,610.2,12.2,0.5,0.54,174.0,Medium,4.7
TRN01748,Tunnel,DES,modp768(1),Off,IPv4,voip,113.9,42.4,0.5,0.27,117.4,Weak,9.6
TRN05203,Tunnel,AES-192,modp6144(17),Off,IPv4,icmp,61.3,1.7,0.5,0.06,131.1,Strong,1.5
TRN02684,Transport,DES,modp768(1),On,IPv6,email,638.1,6.6,0.5,0.35,145.0,Weak,7.9
TRN01373,Tunnel,AES-192,modp768(1),Off,IPv6,email,752.8,8.2,5.7,0.47,155.7,Weak,9.5
TRN03947,Transport,AES-192,modp1024(2),On,IPv6,email,837.1,6.8,36.1,0.34,154.0,Medium,4.6
TRN02261,Tunnel,DES,modp3072(15),Off,IPv6,web_browsing,366.2,7.7,42.4,0.64,195.2,Weak,7.3
TRN00625,Transport,AES-128,modp4096(16),Off,IPv4,file_transfer,1431.7,94.1,0.5,0.74,110.6,Medium,5.1
TRN05852,Tunnel,AES-256-GCM,modp1024(2),On,IPv4,dns_query,77.9,1.9,0.5,0.11,91.7,Medium,5.3
TRN00764,Tunnel,AES-192,modp4096(16),Off,IPv4,file_transfer,1419.5,105.5,14.5,0.69,104.1,Strong,2.1
TRN08157,Transport,3DES,modp4096(16),Off,IPv6,dns_query,68.6,2.5,2.9,0.11,83.8,Medium,4.9
TRN06931,Tunnel,AES-192,modp2048(14),Off,IPv4,icmp,71.4,1.0,0.5,0.03,60.2,Medium,5.2
TRN08734,Tunnel,AES-256,modp1536(5),Off,IPv4,icmp,59.7,2.1,0.5,0.02,92.2,Medium,4.0
TRN01700,Tunnel,AES-128,modp6144(17),On,IPv4,dns_query,115.9,4.5,3.1,0.08,158.1,Strong,2.0
TRN00316,Tunnel,DES,modp2048(14),Off,IPv4,web_browsing,445.3,8.5,0.5,0.47,198.4,Weak,7.2
TRN07341,Transport,AES-256,modp3072(15),On,IPv4,email,278.8,4.7,0.5,0.32,168.1,Strong,1.3
TRN01570,Transport,AES-128,modp1024(2),Off,IPv4,file_transfer,1427.6,118.1,0.5,0.9,201.4,Weak,9.1
TRN07195,Tunnel,AES-192,modp4096(16),On,IPv6,video_streaming,1261.4,100.2,0.5,0.69,180.7,Strong,0.7
TRN06396,Tunnel,DES,modp2048(14),On,IPv4,dns_query,102.9,2.3,0.6,0.11,59.6,Weak,6.0
TRN04148,Transport,AES-128,modp6144(17),Off,IPv6,dns_query,81.0,3.5,0.8,0.16,163.3,Strong,1.9
TRN01963,Tunnel,AES-192,modp1024(2),On,IPv6,email,701.5,13.5,25.8,0.42,83.6,Medium,4.9
TRN06251,Tunnel,AES-256-GCM,modp8192(21),Off,IPv6,icmp,83.0,1.3,0.5,0.04,158.7,Strong,0.9
TRN00624,Transport,AES-192,modp768(1),Off,IPv4,video_streaming,1176.8,87.2,0.5,0.78,179.4,Weak,9.1
TRN00765,Transport,3DES,modp1024(2),On,IPv4,video_streaming,1148.0,83.1,261.6,0.69,144.7,Weak,6.6
TRN01650,Transport,AES-256-GCM,modp768(1),Off,IPv6,dns_query,102.4,4.2,0.5,0.08,150.1,Weak,6.8
TRN04221,Transport,AES-192,modp768(1),Off,IPv6,whatsapp_msg,135.4,5.3,1.1,0.23,121.1,Weak,9.9
TRN04708,Tunnel,AES-192,modp768(1),Off,IPv4,icmp,59.3,2.0,9.4,0.03,130.4,Weak,6.8
TRN07447,Transport,3DES,modp768(1),On,IPv4,icmp,70.0,2.4,10.0,0.05,189.9,Weak,9.9
TRN02555,Tunnel,AES-256,modp1536(5),Off,IPv6,email,755.8,4.0,15.6,0.27,204.4,Medium,5.1
TRN07696,Transport,AES-256,modp768(1),On,IPv6,video_streaming,1213.0,110.0,0.5,0.65,257.6,Weak,8.3
TRN06900,Tunnel,AES-128,modp4096(16),On,IPv4,dns_query,78.1,2.0,3.7,0.08,141.8,Strong,1.6
TRN06658,Transport,AES-256,modp4096(16),On,IPv4,whatsapp_msg,102.7,6.5,0.5,0.34,252.3,Strong,0.6
TRN05522,Tunnel,AES-256-GCM,modp1024(2),On,IPv4,web_browsing,264.5,12.3,14.2,0.47,149.0,Medium,5.5
TRN07975,Transport,AES-256-GCM,modp6144(17),Off,IPv6,video_streaming,1225.1,80.7,1013.4,0.67,127.8,Strong,0.9
TRN02466,Tunnel,AES-256,modp1024(2),On,IPv4,icmp,56.1,2.6,0.5,0.07,238.5,Medium,4.6
TRN07781,Transport,AES-256,modp3072(15),On,IPv6,web_browsing,516.6,9.2,0.5,0.7,121.7,Strong,0.9
TRN00089,Transport,3DES,modp2048(14),On,IPv4,icmp,50.0,1.7,1.5,0.09,184.3,Weak,7.6
TRN01721,Tunnel,AES-128,modp1024(2),On,IPv4,whatsapp_msg,133.1,8.5,13.8,0.19,172.3,Weak,7.1
TRN06004,Transport,3DES,modp8192(21),Off,IPv6,email,840.3,9.3,0.5,0.26,141.9,Medium,5.1
TRN06795,Tunnel,DES,modp1536(5),On,IPv6,icmp,74.8,2.5,7.8,0.06,206.8,Weak,6.6
TRN00621,Transport,AES-256-GCM,modp1536(5),Off,IPv4,icmp,53.2,1.9,0.5,0.04,197.0,Medium,5.7
TRN00941,Transport,DES,modp1024(2),Off,IPv4,file_transfer,1419.2,138.0,0.5,0.77,126.1,Weak,9.4
TRN07196,Transport,3DES,modp3072(15),Off,IPv6,voip,126.1,47.6,170.3,0.22,84.9,Medium,4.3
TRN05210,Tunnel,AES-192,modp1024(2),On,IPv6,dns_query,74.6,5.6,1.5,0.07,172.4,Medium,4.2
TRN08455,Tunnel,AES-256-GCM,modp1024(2),Off,IPv6,voip,113.2,39.3,212.7,0.23,165.2,Medium,4.9
TRN01781,Transport,AES-256-GCM,modp1536(5),On,IPv6,icmp,72.5,2.3,0.5,0.06,139.3,Medium,5.2
TRN03693,Tunnel,DES,modp8192(21),On,IPv6,web_browsing,138.6,19.3,0.5,0.57,230.8,Medium,6.2
TRN04957,Transport,AES-192,modp1024(2),On,IPv6,email,618.4,7.5,0.5,0.32,180.5,Medium,6.2
TRN05853,Transport,AES-256-GCM,modp8192(21),On,IPv6,web_browsing,436.5,22.1,0.5,0.51,152.5,Strong,3.0
TRN06081,Transport,AES-192,modp4096(16),Off,IPv4,file_transfer,1298.2,135.6,0.5,0.67,194.6,Strong,1.4
TRN02848,Transport,AES-192,modp768(1),Off,IPv4,file_transfer,1289.8,132.8,0.5,0.62,177.4,Weak,8.7
TRN00170,Tunnel,AES-256-GCM,modp3072(15),Off,IPv6,voip,122.5,44.0,354.5,0.22,175.3,Strong,0.3
TRN04205,Transport,AES-192,modp8192(21),Off,IPv4,icmp,69.1,2.4,0.5,0.01,124.9,Strong,2.1
TRN02214,Tunnel,AES-192,modp6144(17),Off,IPv6,web_browsing,378.3,16.8,4.0,0.42,138.7,Strong,2.0
TRN03126,Transport,AES-128,modp1536(5),Off,IPv6,dns_query,72.6,4.1,0.5,0.06,174.7,Weak,8.8
TRN04588,Tunnel,AES-128,modp2048(14),On,IPv4,whatsapp_msg,138.6,5.4,7.8,0.21,130.4,Medium,3.4
TRN00587,Transport,DES,modp1536(5),On,IPv6,video_streaming,1060.3,83.7,372.9,0.57,147.9,Weak,7.6
TRN08565,Tunnel,3DES,modp2048(14),Off,IPv6,web_browsing,224.9,21.5,0.5,0.28,187.6,Weak,7.2
TRN04152,Tunnel,AES-192,modp3072(15),On,IPv6,web_browsing,520.7,18.5,3.5,0.39,159.3,Strong,1.6
TRN04681,Transport,DES,modp1536(5),Off,IPv6,web_browsing,479.1,17.9,55.3,0.66,180.8,Weak,8.1
TRN04765,Transport,3DES,modp2048(14),Off,IPv6,file_transfer,1401.0,111.7,0.5,0.8,89.2,Weak,8.4
TRN08933,Transport,3DES,modp4096(16),On,IPv4,dns_query,43.5,3.3,4.7,0.1,154.4,Medium,5.7
TRN04609,Transport,AES-256-GCM,modp2048(14),Off,IPv6,video_streaming,1013.2,105.3,365.8,0.57,171.2,Medium,5.1
TRN01058,Transport,DES,modp6144(17),On,IPv4,icmp,64.6,1.8,0.5,0.05,28.5,Medium,6.7
TRN06454,Transport,AES-128,modp1024(2),Off,IPv6,email,785.3,8.2,0.5,0.43,142.0,Weak,9.7
TRN06063,Tunnel,AES-128,modp8192(21),On,IPv4,email,586.1,7.7,0.5,0.16,166.3,Strong,2.1
TRN06627,Transport,AES-192,modp1536(5),Off,IPv6,voip,97.7,34.4,0.5,0.27,168.7,Weak,6.1
TRN08160,Transport,AES-256-GCM,modp4096(16),Off,IPv6,web_browsing,287.2,19.3,16.3,0.62,110.8,Strong,0.9
TRN00096,Transport,AES-256,modp1536(5),On,IPv6,whatsapp_msg,161.4,3.9,0.5,0.12,173.4,Medium,5.7
TRN07231,Transport,AES-256-GCM,modp4096(16),On,IPv4,web_browsing,268.9,12.7,9.4,0.62,204.9,Strong,1.6
TRN08733,Tunnel,AES-128,modp3072(15),Off,IPv6,email,564.7,8.6,0.5,0.26,179.8,Medium,3.4
TRN02945,Tunnel,AES-256-GCM,modp768(1),Off,IPv4,file_transfer,1384.6,96.0,0.5,0.86,149.3,Medium,5.2
TRN03088,Transport,AES-256-GCM,modp1536(5),On,IPv6,file_transfer,1387.7,69.9,113.8,0.92,116.3,Medium,4.5
TRN06792,Tunnel,AES-256-GCM,modp4096(16),On,IPv6,voip,141.6,31.8,88.5,0.2,161.9,Strong,1.3
TRN01618,Tunnel,AES-256,modp3072(15),Off,IPv6,file_transfer,1387.4,118.6,0.5,0.87,71.3,Strong,2.4
TRN07721,Transport,AES-256,modp3072(15),Off,IPv6,file_transfer,1395.7,117.2,14.3,0.56,134.6,Strong,1.6
TRN03699,Transport,AES-256-GCM,modp2048(14),Off,IPv6,voip,125.7,41.7,95.8,0.22,206.9,Strong,1.2
TRN08557,Tunnel,AES-128,modp1024(2),On,IPv6,whatsapp_msg,159.3,5.6,1.9,0.25,71.9,Weak,8.4
TRN01077,Tunnel,DES,modp1024(2),Off,IPv4,whatsapp_msg,185.8,10.9,12.6,0.33,164.0,Weak,6.9
TRN06021,Transport,AES-256,modp1536(5),Off,IPv4,video_streaming,1205.6,83.1,928.2,0.59,116.7,Medium,4.4
TRN07026,Tunnel,AES-128,modp1536(5),Off,IPv4,web_browsing,378.8,4.8,17.2,0.76,187.1,Weak,7.5
TRN07907,Transport,AES-192,modp8192(21),On,IPv6,file_transfer,1394.2,95.8,115.6,0.7,105.3,Strong,1.2
TRN03086,Tunnel,AES-192,modp768(1),On,IPv6,video_streaming,964.5,108.7,0.5,0.74,152.8,Weak,9.3
TRN01091,Transport,AES-128,modp3072(15),Off,IPv6,file_transfer,1433.0,116.8,0.5,0.78,133.8,Medium,5.4
