model,task,note,seconds,f1_macro_mean,f1_macro_std,accuracy_mean,accuracy_std,floor,mae_mean,mae_std,r2_mean,r2_std
Dummy,clf,traffic_type,4.0,0.0297,0.0001,0.1348,0.0003,0.0296,,,,
LogisticReg,clf,traffic_type,0.8,0.9091,0.0061,0.9088,0.006,0.903,,,,
RidgeClf,clf,traffic_type,0.2,0.5644,0.0076,0.6418,0.0065,0.5568,,,,
SGD,clf,traffic_type,0.8,0.7991,0.0306,0.8138,0.0218,0.7685,,,,
LDA,clf,traffic_type,0.3,0.8686,0.0071,0.8706,0.0069,0.8615,,,,
QDA,clf,traffic_type,0.2,0.8474,0.0075,0.8496,0.0074,0.8399,,,,
GaussianNB,clf,traffic_type,0.1,0.9462,0.004,0.946,0.0039,0.9422,,,,
kNN,clf,traffic_type,0.3,0.9109,0.0064,0.9107,0.0064,0.9045,,,,
DecisionTree,clf,traffic_type,0.4,0.9203,0.0057,0.92,0.0059,0.9146,,,,
RandomForest,clf,traffic_type,8.6,0.948,0.0045,0.9478,0.0045,0.9435,,,,
ExtraTrees,clf,traffic_type,6.4,0.948,0.0047,0.9478,0.0047,0.9433,,,,
HistGB,clf,traffic_type,12.4,0.9435,0.006,0.9434,0.006,0.9375,,,,
AdaBoost,clf,traffic_type,4.9,0.4784,0.0686,0.5444,0.0623,0.4098,,,,
SVM-rbf,clf,traffic_type_slow,2.3,0.9201,0.0051,0.9199,0.005,0.915,,,,
SVM-linear,clf,traffic_type_slow,0.3,0.869,0.0067,0.8701,0.0065,0.8623,,,,
SVM-poly,clf,traffic_type_slow,3.9,0.9085,0.007,0.9082,0.007,0.9015,,,,
MLP,clf,traffic_type_slow,81.8,0.9396,0.004,0.9394,0.0039,0.9356,,,,
GradientBoost,clf,traffic_type_slow,46.3,0.9469,0.0048,0.9468,0.0047,0.9421,,,,
Dummy,clf,security_verdict,0.3,0.1886,0.0,0.3944,0.0,0.1886,,,,
LogisticReg,clf,security_verdict,0.5,0.9045,0.0058,0.9017,0.006,0.8987,,,,
RidgeClf,clf,security_verdict,0.3,0.802,0.0076,0.7983,0.0078,0.7944,,,,
SGD,clf,security_verdict,0.6,0.8798,0.0112,0.8775,0.011,0.8686,,,,
LDA,clf,security_verdict,0.4,0.9048,0.0059,0.9019,0.0061,0.8989,,,,
QDA,clf,security_verdict,0.4,0.8848,0.0067,0.8832,0.0066,0.8781,,,,
GaussianNB,clf,security_verdict,1.6,0.7171,0.0305,0.7364,0.0225,0.6866,,,,
kNN,clf,security_verdict,3.5,0.841,0.0069,0.8374,0.007,0.8341,,,,
DecisionTree,clf,security_verdict,0.3,0.9029,0.0076,0.9001,0.0077,0.8953,,,,
RandomForest,clf,security_verdict,9.3,0.9043,0.0062,0.9015,0.0063,0.8981,,,,
ExtraTrees,clf,security_verdict,8.4,0.9036,0.0071,0.9008,0.0072,0.8965,,,,
HistGB,clf,security_verdict,10.4,0.9022,0.0063,0.8993,0.0065,0.8959,,,,
AdaBoost,clf,security_verdict,5.7,0.6964,0.0536,0.7136,0.0399,0.6428,,,,
RF-behaviour-only,clf,security_verdict_control,50.6,0.3306,0.0103,0.3548,0.0097,0.3203,,,,
SVM-rbf,clf,security_verdict_slow,13.0,0.9014,0.0058,0.8985,0.0059,0.8956,,,,
SVM-linear,clf,security_verdict_slow,0.3,0.9007,0.0067,0.8984,0.0068,0.894,,,,
MLP,clf,security_verdict_slow,44.1,0.9033,0.0067,0.9005,0.0069,0.8966,,,,
GradientBoost,clf,security_verdict_slow,28.5,0.9047,0.0057,0.9021,0.0058,0.899,,,,
DecisionTree-cfg,clf,verdict_config_only,0.0,0.9042,0.0078,0.9014,0.008,0.8965,,,,
RandomForest-cfg,clf,verdict_config_only,0.0,0.9032,0.0076,0.9004,0.0078,0.8956,,,,
LogisticReg-cfg,clf,verdict_config_only,0.0,0.9047,0.0065,0.9019,0.0067,0.8982,,,,
GradientBoost-cfg,clf,verdict_config_only,0.0,0.9045,0.0066,0.9018,0.0068,0.8978,,,,
Dummy,reg,risk_score,0.2,,,,,2.3938,2.3608,0.033,-0.0004,0.0005
LinearReg,reg,risk_score,0.2,,,,,1.1913,1.1723,0.019,0.7283,0.0073
Ridge,reg,risk_score,0.2,,,,,1.1913,1.1723,0.019,0.7283,0.0073
Lasso,reg,risk_score,0.2,,,,,2.3938,2.3608,0.033,-0.0004,0.0005
ElasticNet,reg,risk_score,0.2,,,,,2.3938,2.3608,0.033,-0.0004,0.0005
kNN,reg,risk_score,0.4,,,,,1.2873,1.268,0.0193,0.6544,0.0114
DecisionTree,reg,risk_score,0.3,,,,,1.378,1.3542,0.0238,0.5906,0.019
RandomForest,reg,risk_score,74.0,,,,,1.0496,1.033,0.0166,0.772,0.0081
ExtraTrees,reg,risk_score,61.8,,,,,1.0841,1.07,0.0141,0.7519,0.0091
HistGB,reg,risk_score,2.9,,,,,1.0312,1.0154,0.0158,0.7877,0.007
AdaBoost,reg,risk_score,4.7,,,,,1.491,1.4714,0.0196,0.6069,0.0108
SVR-rbf,reg,risk_score_slow,26.0,,,,,1.112,1.092,0.02,0.7539,0.0076
MLP,reg,risk_score_slow,78.7,,,,,1.1374,1.1087,0.0287,0.7394,0.0143
GradientBoost,reg,risk_score_slow,8.4,,,,,1.0554,1.0399,0.0155,0.7801,0.0066
